Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW X5,2014,3.0 л (306 л.с.),бензин,АКПП,4WD,180 000 км,3 400 000,Краснодар
BMW X3,2008,2.5 л (218 л.с.),бензин,АКПП,4WD,184 000 км,1 200 000,Красноярск
BMW 7-Series,2015,3.0 л (320 л.с.),бензин,АКПП,4WD,174 813 км,2 320 000,Уфа
BMW X6,2025,3.0 л (298 л.с.),дизель,АКПП,4WD,7 900 км,15 450 000,Новосибирск
BMW X5,2017,3.0 л (313 л.с.),дизель,АКПП,4WD,168 900 км,4 049 999,Новосибирск
BMW X4,2019,2.0 л (190 л.с.),дизель,АКПП,4WD,104 000 км,1 890 000,Краснодар
BMW 5-Series,2000,2.5 л (143 л.с.),дизель,механика,задний,200 000 км,349 000,Кемерово
BMW X6,2015,3.0 л (249 л.с.),дизель,АКПП,4WD,217 000 км,3 250 000,Челябинск
BMW 3-Series,2011,2.0 л (136 л.с.),бензин,АКПП,задний,147 600 км,1 295 000,Феодосия
BMW 5-Series,2000,2.5 л (163 л.с.),дизель,механика,задний,260 000 км,240 000,Новосибирск
BMW 5-Series,2018,2.0 л (190 л.с.),дизель,АКПП,4WD,107 000 км,3 500 000,Москва
BMW 7-Series,2010,6.0 л (544 л.с.),бензин,АКПП,задний,190 000 км,1 850 000,Сочи
BMW 3-Series,2015,2.0 л (245 л.с.),бензин,АКПП,задний,140 000 км,2 299 999,Новосибирск
BMW X5,2021,4.4 л (600 л.с.),бензин,АКПП,4WD,113 219 км,8 700 000,Тверь
BMW 3-Series Gran Turismo,2020,2.0 л (184 л.с.),дизель,АКПП,4WD,142 500 км,2 470 000,Омск
BMW X3,2020,2.0 л (184 л.с.),бензин,АКПП,4WD,45 239 км,5 000 000,Барнаул
BMW 3-Series,2011,2.0 л (156 л.с.),бензин,АКПП,задний,216 000 км,1 150 000,Большой Исток
BMW X6,2010,3.0 л (306 л.с.),бензин,АКПП,4WD,225 000 км,1 520 000,Белово
BMW 5-Series,1994,2.5 л (170 л.с.),бензин,автомат,задний,200 000 км,127 000,Чита
BMW 1-Series,2017,1.5 л (136 л.с.),бензин,АКПП,задний,78 567 км,1 899 000,Екатеринбург
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,N/A,5 699 000,Нягань
BMW 2-Series Active Tourer,2017,1.5 л (136 л.с.),бензин,АКПП,передний,49 500 км,1 475 000,Нижняя Тура
BMW 7-Series,2004,3.0 л (218 л.с.),дизель,АКПП,задний,208 000 км,1 500 000,Лангепас
BMW 3-Series,2014,1.6 л (136 л.с.),бензин,АКПП,задний,185 000 км,1 495 000,Симферополь
BMW X3,2019,2.0 л (190 л.с.),дизель,АКПП,4WD,168 000 км,3 600 000,Шахты
BMW 5-Series,2020,2.0 л (195 л.с.),дизель,АКПП,4WD,244 000 км,3 250 000,Москва
BMW X3,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,238 000 км,2 050 000,Надым
BMW 7-Series,2001,3.6 л (272 л.с.),бензин,АКПП,задний,330 000 км,650 000,Краснодар
BMW 5-Series,2004,2.5 л (177 л.с.),дизель,АКПП,задний,420 000 км,1 250 000,Калининград
BMW X5,2016,2.0 л (231 л.с.),дизель,АКПП,4WD,198 000 км,3 720 000,Стерлитамак
BMW X1,2012,2.0 л (184 л.с.),бензин,АКПП,4WD,260 000 км,1 490 000,Тюмень
BMW 7-Series,2001,3.6 л (272 л.с.),бензин,АКПП,задний,150 000 км,385 000,Москва
BMW 5-Series,1999,2.0 л (150 л.с.),бензин,АКПП,задний,540 000 км,530 000,Новосибирск
BMW 5-Series,2008,2.5 л (218 л.с.),бензин,АКПП,задний,272 000 км,1 249 999,Сургут
BMW 1-Series,2011,1.6 л (116 л.с.),бензин,АКПП,задний,168 560 км,900 000,Пушкино
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,3 000 км,5 150 000,Симферополь
BMW 3-Series,2011,2.0 л (156 л.с.),бензин,АКПП,задний,214 700 км,1 020 000,Уфа
BMW 5-Series,2016,2.0 л (190 л.с.),дизель,АКПП,4WD,180 000 км,2 350 000,Иваново
BMW 2-Series,2020,1.5 л (140 л.с.),бензин,робот,передний,46 000 км,1 500 000,Владивосток
BMW 3-Series,2012,2.5 л (218 л.с.),бензин,АКПП,задний,143 313 км,1 549 000,Москва
BMW 3-Series,1999,2.0 л (150 л.с.),бензин,механика,задний,200 000 км,870 000,Омск
BMW 3-Series,2006,2.0 л (129 л.с.),бензин,АКПП,задний,275 000 км,950 000,Иркутск
BMW 3-Series,2012,2.0 л (184 л.с.),бензин,АКПП,задний,167 156 км,1 619 000,Сургут
BMW 3-Series,2020,2.0 л (258 л.с.),бензин,АКПП,4WD,29 000 км,4 500 000,Москва
BMW X3,2012,2.0 л (245 л.с.),бензин,АКПП,4WD,180 000 км,2 450 000,Челябинск
BMW X5,2013,3.0 л (245 л.с.),дизель,АКПП,4WD,243 000 км,1 750 000,Калининград
BMW X5,2014,3.0 л (313 л.с.),дизель,АКПП,4WD,137 000 км,3 000 000,Иркутск
BMW X3,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,183 153 км,2 200 000,Екатеринбург
BMW 3-Series,1999,1.9 л (118 л.с.),бензин,АКПП,задний,430 000 км,450 000,Верх-Суетка
BMW 3-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,27 000 км,5 600 000,Йошкар-Ола
