Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
bmw 1-series,2018,1.5,petrol,automatic,rear,91000.0,1390000,новосибирск
bmw x5,2005,4.4,petrol,automatic,awd,195000.0,1025000,новосибирск
bmw x5,2005,3.0,petrol,automatic,awd,223000.0,1150000,новосибирск
bmw 3-series,2019,2.0,diesel,automatic,awd,105300.0,3299999,красноярск
bmw x6,2021,4.4,petrol,automatic,awd,65000.0,10150000,санкт-петербург
bmw x1,2023,2.0,petrol,robot,awd,19000.0,5350000,хабаровск
bmw x5,2001,3.0,petrol,automatic,awd,,580000,екатеринбург
bmw x5,2019,3.0,diesel,automatic,awd,149000.0,5700000,санкт-петербург
bmw 2-series,2019,1.5,petrol,robot,front,125425.0,2110000,владивосток
bmw 5-series,2019,3.0,diesel,automatic,awd,39000.0,5500000,омск
bmw 5-series,2020,2.0,petrol,automatic,rear,56000.0,4900000,владивосток
bmw 5-series,2013,3.0,diesel,automatic,awd,212000.0,1890000,красноярск
bmw 5-series,1990,2.5,petrol,manual,rear,450000.0,350000,саянск
bmw x5,2021,3.0,diesel,automatic,awd,64845.0,9400000,москва
bmw 5-series,2014,2.0,petrol,automatic,rear,207432.0,1660000,москва
bmw x6,2020,3.0,diesel,automatic,awd,82409.0,8900000,москва
bmw x7,2020,3.0,hybrid,automatic,awd,198000.0,6200000,сочи
bmw 1-series,2012,1.6,petrol,automatic,rear,210000.0,1185000,екатеринбург
bmw x5,2015,3.0,petrol,automatic,awd,137500.0,3000000,новосибирск
bmw x1,2023,1.5,petrol,robot,front,23000.0,3100000,китай→владивосток
bmw x3,2021,2.0,diesel,automatic,awd,54500.0,4900000,москва
bmw 1-series,2018,1.5,petrol,automatic,rear,98000.0,2290000,краснодар
bmw 5-series,1998,2.8,petrol,manual,rear,500000.0,750000,чита
bmw 5-series,2012,3.0,diesel,automatic,awd,273000.0,1650000,санкт-петербург
bmw 1-series,2011,1.6,petrol,automatic,rear,258000.0,780000,новосибирск
bmw x1,2012,2.0,petrol,automatic,awd,237516.0,1134000,тюмень
bmw x1,2017,2.0,petrol,automatic,awd,89000.0,2510000,владивосток
bmw 5-series,2012,2.0,petrol,automatic,rear,179000.0,1550000,ростов-на-дону
bmw 1-series,2021,2.0,petrol,automatic,awd,23000.0,3450000,владивосток
bmw x5,2016,3.0,diesel,automatic,awd,140047.0,3700000,иркутск
bmw 5-series,2019,2.0,diesel,automatic,awd,169700.0,2790000,москва
bmw x1,2017,1.5,petrol,automatic,front,53300.0,2000000,чита
bmw x7,2025,3.0,diesel,automatic,awd,,17890000,симферополь
bmw 5-series,2020,3.0,petrol,automatic,awd,50000.0,7000000,владивосток
bmw x3,2024,2.0,petrol,automatic,awd,,6519000,симферополь
bmw x6,2015,3.0,diesel,automatic,awd,180000.0,3250000,тольятти
bmw 5-series,2013,2.0,petrol,automatic,awd,102500.0,2460000,новосибирск
bmw 3-series,2002,2.0,petrol,automatic,rear,110000.0,700000,новосибирск
bmw 3-series,2006,2.0,petrol,automatic,rear,140000.0,310000,владивосток
bmw 5-series,1999,2.5,petrol,automatic,rear,334500.0,750000,калининград
bmw x5,2021,3.0,petrol,automatic,awd,130000.0,6700000,самара
bmw 5-series,2018,2.0,diesel,automatic,rear,249854.0,2500000,севастополь
bmw x6,2016,3.0,petrol,automatic,awd,113000.0,3200000,благовещенск
bmw 5-series,2021,2.0,diesel,automatic,awd,138000.0,5000000,екатеринбург
bmw x4,2016,2.0,petrol,automatic,awd,143000.0,2650000,санкт-петербург
bmw x3,2018,2.0,diesel,automatic,awd,91000.0,3950000,владивосток
bmw 5-series,2013,3.0,diesel,automatic,awd,209000.0,2499000,тюмень
bmw 5-series,2013,2.0,petrol,automatic,rear,215535.0,1817000,красноярск
bmw x2,2018,1.5,petrol,robot,front,18900.0,2097000,красноярск
bmw 5-series,2021,2.0,hybrid,automatic,rear,77000.0,4897000,красноярск
bmw 1-series,2004,2.0,petrol,automatic,rear,250000.0,750000,краснодар
bmw 4-series,2021,3.0,hybrid,automatic,awd,25915.0,7980000,москва
bmw x6,2024,4.4,petrol,automatic,awd,,21990000,магнитогорск
bmw 5-series,2010,3.0,diesel,automatic,rear,174310.0,2250000,москва
bmw 5-series gran turismo,2012,3.0,petrol,automatic,awd,143000.0,1850000,сочи
bmw 5-series,2010,3.0,petrol,automatic,rear,177000.0,1800000,тюмень
bmw 5-series,2012,2.0,petrol,automatic,rear,234000.0,1499000,красноярск
bmw x5,2014,3.0,petrol,automatic,awd,250050.0,2450000,омск
bmw 3-series,1984,2.0,petrol,manual,rear,304414.0,120000,сочи
bmw x5,2025,3.0,diesel,automatic,awd,10.0,15090000,москва
bmw 5-series,2005,3.0,petrol,automatic,rear,250000.0,739990,новосибирск
bmw 5-series,2009,2.5,petrol,automatic,rear,483188.0,1289000,волгоград
bmw 5-series,2017,2.0,diesel,automatic,awd,75300.0,3345000,красноярск
bmw x3,2004,2.5,petrol,automatic,awd,255000.0,780000,томск
bmw x6,2018,3.0,diesel,automatic,awd,133122.0,5290000,новосибирск
bmw x6,2015,3.0,diesel,automatic,awd,99250.0,3990000,ростов-на-дону
bmw 5-series,2013,2.0,petrol,automatic,awd,134000.0,2100000,химки
bmw x6,2011,3.0,petrol,automatic,awd,195000.0,1750000,хабаровск
bmw 5-series,2020,2.0,petrol,automatic,rear,130000.0,3750000,краснодар
bmw 1-series,2012,1.6,petrol,manual,rear,194000.0,1400000,уфа
bmw x6,2015,3.0,diesel,automatic,awd,138000.0,3499000,кемерово
bmw x5,2009,3.0,diesel,automatic,awd,311000.0,1900000,подольск
bmw xm,2023,4.4,hybrid,automatic,awd,35000.0,16000000,иркутск
bmw 3-series,2009,2.0,petrol,automatic,rear,86000.0,1249000,иркутск
bmw 1-series,2017,1.5,petrol,automatic,rear,83882.0,1962000,ставрополь
bmw x6,2016,3.0,diesel,automatic,awd,130530.0,3849000,ставрополь
bmw m5,2022,4.4,petrol,automatic,awd,22000.0,15000000,барнаул
bmw 5-series,2014,2.0,petrol,automatic,awd,260000.0,2250000,бийск
bmw x6,2009,3.0,petrol,automatic,awd,225000.0,1350000,ногинск
bmw x5,2011,3.0,diesel,automatic,awd,249000.0,1999000,санкт-петербург
